Direction,LightAir,Light,Gentle,Moderate,Fresh,Strong,NearGale,Gale
10,1.50,5.37,2.81,0.03,0.00,0.00,0.00,0.00
20,1.05,2.72,1.83,0.03,0.00,0.00,0.00,0.00
30,0.77,1.38,0.54,0.02,0.00,0.00,0.00,0.00
40,0.68,0.93,0.18,0.02,0.00,0.00,0.00,0.00
50,0.56,0.68,0.11,0.02,0.00,0.00,0.00,0.00
60,0.58,0.63,0.14,0.01,0.00,0.00,0.00,0.00
70,0.50,0.66,0.29,0.04,0.00,0.00,0.00,0.00
80,0.47,0.80,0.69,0.18,0.01,0.00,0.00,0.00
90,0.41,0.76,1.13,0.54,0.08,0.03,0.01,0.00
100,0.36,0.70,1.34,1.62,0.56,0.18,0.02,0.00
110,0.34,0.60,1.45,2.35,1.46,0.42,0.02,0.00
120,0.32,0.45,1.07,1.90,1.13,0.33,0.03,0.00
130,0.25,0.37,0.65,0.84,0.40,0.12,0.01,0.00
140,0.22,0.26,0.34,0.32,0.12,0.05,0.00,0.00
150,0.21,0.25,0.18,0.11,0.03,0.01,0.00,0.00
160,0.20,0.23,0.10,0.04,0.01,0.00,0.00,0.00
170,0.22,0.18,0.07,0.02,0.00,0.00,0.00,0.00
180,0.22,0.20,0.08,0.03,0.01,0.00,0.00,0.00
190,0.18,0.21,0.15,0.07,0.01,0.01,0.00,0.00
200,0.21,0.25,0.21,0.21,0.06,0.03,0.00,0.00
210,0.19,0.27,0.32,0.29,0.18,0.08,0.02,0.00
220,0.22,0.38,0.51,0.37,0.14,0.06,0.03,0.01
230,0.23,0.42,0.64,0.36,0.06,0.02,0.00,0.00
240,0.26,0.48,0.64,0.37,0.02,0.00,0.00,0.00
250,0.29,0.52,0.90,0.64,0.07,0.00,0.00,0.00
260,0.33,0.61,1.12,1.01,0.24,0.06,0.02,0.00
270,0.35,0.68,1.25,1.51,0.72,0.37,0.05,0.01
280,0.38,0.65,1.25,2.42,1.70,0.83,0.10,0.00
290,0.40,0.68,1.28,2.94,2.17,0.85,0.09,0.00
300,0.40,0.71,1.37,2.45,1.07,0.30,0.02,0.00
310,0.47,0.79,1.72,1.88,0.31,0.03,0.00,0.00
320,0.58,0.98,2.11,1.47,0.15,0.00,0.00,0.00
330,0.65,1.31,2.44,1.03,0.08,0.01,0.00,0.00
340,0.88,1.75,2.41,0.66,0.06,0.01,0.00,0.00
350,1.08,1.80,1.25,0.25,0.03,0.00,0.00,0.00
360,1.32,3.03,0.96,0.04,0.01,0.00,0.00,0.00
